Date,Area,Area (sq km),Population
2016-03,Barking and Dagenham,36,204700
2016-03,Barnet,87,372200
2016-03,Bexley,61,240600
2016-03,Brent,43,319100
2016-03,Bromley,150,323000
2016-03,Camden,22,241900
2016-03,Croydon,86,377100
2016-03,Ealing,56,339900
2016-03,Enfield,81,324900
2016-03,Greenwich,47,272000
2016-03,Hackney,19,269000
2016-03,Hammersmith and Fulham,16,178900
2016-03,Haringey,30,265700
2016-03,Harrow,50,244700
2016-03,Havering,112,248600
2016-03,Hillingdon,116,294100
2016-03,Hounslow,56,264300
2016-03,Islington,15,226300
2016-03,Kensington and Chelsea,12,155800
2016-03,Kingston upon Thames,37,169000
2016-03,Lambeth,27,317200
2016-03,Lewisham,35,294900
2016-03,Merton,38,204600
2016-03,Newham,36,336700
2016-03,Redbridge,56,296800
2016-03,Richmond upon Thames,57,191200
2016-03,Southwark,29,306400
2016-03,Sutton,44,198900
2016-03,Tower Hamlets,20,293100
2016-03,Waltham Forest,39,269000
2016-03,Wandsworth,34,315400
2016-03,Westminster,21,231500
2017-03,Barking and Dagenham,36,206900
2017-03,Barnet,87,380800
2017-03,Bexley,61,243700
2017-03,Brent,43,324500
2017-03,Bromley,150,324700
2017-03,Camden,22,247200
2017-03,Croydon,86,380200
2017-03,Ealing,56,339400
2017-03,Enfield,81,329200
2017-03,Greenwich,47,276200
2017-03,Hackney,19,273000
2017-03,Hammersmith and Fulham,16,180500
2017-03,Haringey,30,269200
2017-03,Harrow,50,246600
2017-03,Havering,112,253200
2017-03,Hillingdon,116,297400
2017-03,Hounslow,56,266000
2017-03,Islington,15,227800
2017-03,Kensington and Chelsea,12,153300
2017-03,Kingston upon Thames,37,172100
2017-03,Lambeth,27,321100
2017-03,Lewisham,35,298800
2017-03,Merton,38,204400
2017-03,Newham,36,343400
2017-03,Redbridge,56,299000
2017-03,Richmond upon Thames,57,192800
2017-03,Southwark,29,307900
2017-03,Sutton,44,200800
2017-03,Tower Hamlets,20,301200
2017-03,Waltham Forest,39,272800
2017-03,Wandsworth,34,316300
2017-03,Westminster,21,236100
2018-03,Barking and Dagenham,36,210100
2018-03,Barnet,87,385100
2018-03,Bexley,61,245800
2018-03,Brent,43,327100
2018-03,Bromley,150,327900
2018-03,Camden,22,252900
2018-03,Croydon,86,382700
2018-03,Ealing,56,338300
2018-03,Enfield,81,331600
2018-03,Greenwich,47,281600
2018-03,Hackney,19,275900
2018-03,Hammersmith and Fulham,16,180900
2018-03,Haringey,30,271100
2018-03,Harrow,50,247000
2018-03,Havering,112,256000
2018-03,Hillingdon,116,300800
2018-03,Hounslow,56,266800
2018-03,Islington,15,231000
2018-03,Kensington and Chelsea,12,154000
2018-03,Kingston upon Thames,37,173400
2018-03,Lambeth,27,322300
2018-03,Lewisham,35,301300
2018-03,Merton,38,204800
2018-03,Newham,36,347500
2018-03,Redbridge,56,301800
2018-03,Richmond upon Thames,57,193900
2018-03,Southwark,29,311100
2018-03,Sutton,44,202000
2018-03,Tower Hamlets,20,308000
2018-03,Waltham Forest,39,274100
2018-03,Wandsworth,34,316200
2018-03,Westminster,21,238400
2019-03,Barking and Dagenham,36,215000
2019-03,Barnet,87,392500
2019-03,Bexley,61,249200
2019-03,Brent,43,328500
2019-03,Bromley,150,331000
2019-03,Camden,22,256600
2019-03,Croydon,86,386500
2019-03,Ealing,56,340300
2019-03,Enfield,81,337500
2019-03,Greenwich,47,284500
2019-03,Hackney,19,282200
2019-03,Hammersmith and Fulham,16,180300
2019-03,Haringey,30,276100
2019-03,Harrow,50,248600
2019-03,Havering,112,259400
2019-03,Hillingdon,116,306500
2019-03,Hounslow,56,271100
2019-03,Islington,15,235000
2019-03,Kensington and Chelsea,12,154400
2019-03,Kingston upon Thames,37,178800
2019-03,Lambeth,27,323100
2019-03,Lewisham,35,305000
2019-03,Merton,38,207700
2019-03,Newham,36,353500
2019-03,Redbridge,56,306700
2019-03,Richmond upon Thames,57,196500
2019-03,Southwark,29,317900
2019-03,Sutton,44,204600
2019-03,Tower Hamlets,20,315100
2019-03,Waltham Forest,39,278400
2019-03,Wandsworth,34,321400
2019-03,Westminster,21,240100
2020-03,Barking and Dagenham,36,219500
2020-03,Barnet,87,395300
2020-03,Bexley,61,252200
2020-03,Brent,43,330500
2020-03,Bromley,150,336000
2020-03,Camden,22,262200
2020-03,Croydon,86,390400
2020-03,Ealing,56,343600
2020-03,Enfield,81,340900
2020-03,Greenwich,47,288800
2020-03,Hackney,19,286400
2020-03,Hammersmith and Fulham,16,180400
2020-03,Haringey,30,279200
2020-03,Harrow,50,248200
2020-03,Havering,112,263700
2020-03,Hillingdon,116,310000
2020-03,Hounslow,56,273000
2020-03,Islington,15,239100
2020-03,Kensington and Chelsea,12,152800
2020-03,Kingston upon Thames,37,179800
2020-03,Lambeth,27,325700
2020-03,Lewisham,35,310800
2020-03,Merton,38,209300
2020-03,Newham,36,358600
2020-03,Redbridge,56,311900
2020-03,Richmond upon Thames,57,198700
2020-03,Southwark,29,320000
2020-03,Sutton,44,206700
2020-03,Tower Hamlets,20,322000
2020-03,Waltham Forest,39,280800
2020-03,Wandsworth,34,324500
2020-03,Westminster,21,237800
2021-03,Barking and Dagenham,36,222400
2021-03,Barnet,87,399900
2021-03,Bexley,61,254000
2021-03,Brent,43,331400
2021-03,Bromley,150,338800
2021-03,Camden,22,261900
2021-03,Croydon,86,392800
2021-03,Ealing,56,345900
2021-03,Enfield,81,342900
2021-03,Greenwich,47,293000
2021-03,Hackney,19,291000
2021-03,Hammersmith and Fulham,16,178900
2021-03,Haringey,30,278100
2021-03,Harrow,50,250300
2021-03,Havering,112,264600
2021-03,Hillingdon,116,313300
2021-03,Hounslow,56,274900
2021-03,Islington,15,241500
2021-03,Kensington and Chelsea,12,152700
2021-03,Kingston upon Thames,37,181700
2021-03,Lambeth,27,327100
2021-03,Lewisham,35,314400
2021-03,Merton,38,207400
2021-03,Newham,36,362400
2021-03,Redbridge,56,313700
2021-03,Richmond upon Thames,57,200000
2021-03,Southwark,29,319900
2021-03,Sutton,44,207900
2021-03,Tower Hamlets,20,326900
2021-03,Waltham Forest,39,282400
2021-03,Wandsworth,34,325400
2021-03,Westminster,21,233300
2022-03,Barking and Dagenham,36,224800
2022-03,Barnet,87,403500
2022-03,Bexley,61,256000
2022-03,Brent,43,332700
2022-03,Bromley,150,341400
2022-03,Camden,22,265100
2022-03,Croydon,86,395300
2022-03,Ealing,56,341500
2022-03,Enfield,81,344700
2022-03,Greenwich,47,296300
2022-03,Hackney,19,297900
2022-03,Hammersmith and Fulham,16,177900
2022-03,Haringey,30,275100
2022-03,Harrow,50,251800
2022-03,Havering,112,266900
2022-03,Hillingdon,116,311700
2022-03,Hounslow,56,276100
2022-03,Islington,15,242700
2022-03,Kensington and Chelsea,12,153600
2022-03,Kingston upon Thames,37,182300
2022-03,Lambeth,27,331400
2022-03,Lewisham,35,315500
2022-03,Merton,38,212300
2022-03,Newham,36,364900
2022-03,Redbridge,56,317000
2022-03,Richmond upon Thames,57,201000
2022-03,Southwark,29,320800
2022-03,Sutton,44,209800
2022-03,Tower Hamlets,20,330100
2022-03,Waltham Forest,39,283100
2022-03,Wandsworth,34,319900
2022-03,Westminster,21,232300
2023-03,Barking and Dagenham,36,225600
2023-03,Barnet,87,403700
2023-03,Bexley,61,256900
2023-03,Brent,43,325900
2023-03,Bromley,150,339800
2023-03,Camden,22,266100
2023-03,Croydon,86,397100
2023-03,Ealing,56,346200
2023-03,Enfield,81,346300
2023-03,Greenwich,47,300100
2023-03,Hackney,19,297500
2023-03,Hammersmith and Fulham,16,180800
2023-03,Haringey,30,281500
2023-03,Harrow,50,252300
2023-03,Havering,112,268000
2023-03,Hillingdon,116,314700
2023-03,Hounslow,56,277100
2023-03,Islington,15,243800
2023-03,Kensington and Chelsea,12,154100
2023-03,Kingston upon Thames,37,186800
2023-03,Lambeth,27,332000
2023-03,Lewisham,35,316900
2023-03,Merton,38,215000
2023-03,Newham,36,366200
2023-03,Redbridge,56,318100
2023-03,Richmond upon Thames,57,201900
2023-03,Southwark,29,320400
2023-03,Sutton,44,210700
2023-03,Tower Hamlets,20,331000
2023-03,Waltham Forest,39,282400
2023-03,Wandsworth,34,324800
2023-03,Westminster,21,231600
