,IncidentDate,Borough,counts
162,2022-04-05,Southwark,26
163,2022-04-05,Sutton,4
164,2022-04-05,Tower Hamlets,24
165,2022-04-05,Waltham Forest,8
166,2022-04-05,Wandsworth,11
167,2022-04-06,Barking and Dagenham,8
168,2022-04-06,Barnet,16
169,2022-04-06,Bexley,9
170,2022-04-06,Brent,17
171,2022-04-06,Bromley,9
172,2022-04-06,Camden,11
173,2022-04-06,City of Westminster,15
174,2022-04-06,Croydon,17
175,2022-04-06,Ealing,15
176,2022-04-06,Enfield,14
177,2022-04-06,Greenwich,15
178,2022-04-06,Hackney,14
179,2022-04-06,Hammersmith and Fulham,8
180,2022-04-06,Haringey,9
181,2022-04-06,Harrow,3
182,2022-04-06,Havering,13
183,2022-04-06,Heathrow,1
184,2022-04-06,Hillingdon,11
185,2022-04-06,Hounslow,9
186,2022-04-06,Islington,14
187,2022-04-06,Kingston upon Thames,1
188,2022-04-06,Lambeth,9
189,2022-04-06,Lewisham,23
190,2022-04-06,Merton,2
191,2022-04-06,Newham,21
192,2022-04-06,Out of force,8
193,2022-04-06,Redbridge,19
194,2022-04-06,Richmond upon Thames,1
195,2022-04-06,Southwark,14
196,2022-04-06,Sutton,8
197,2022-04-06,Tower Hamlets,9
198,2022-04-06,Waltham Forest,11
199,2022-04-06,Wandsworth,10
200,2022-04-07,Barking and Dagenham,9
201,2022-04-07,Barnet,16
202,2022-04-07,Bexley,9
203,2022-04-07,Brent,17
204,2022-04-07,Bromley,13
205,2022-04-07,Camden,10
206,2022-04-07,City of Westminster,19
207,2022-04-07,Croydon,18
208,2022-04-07,Ealing,6
209,2022-04-07,Enfield,12
210,2022-04-07,Greenwich,20
211,2022-04-07,Hackney,9
212,2022-04-07,Hammersmith and Fulham,6
213,2022-04-07,Haringey,9
214,2022-04-07,Harrow,6
215,2022-04-07,Havering,11
216,2022-04-07,Heathrow,4
217,2022-04-07,Hillingdon,16
218,2022-04-07,Hounslow,22
219,2022-04-07,Islington,7
220,2022-04-07,Kensington and Chelsea,4
221,2022-04-07,Kingston upon Thames,14
222,2022-04-07,Lambeth,20
223,2022-04-07,Lewisham,16
224,2022-04-07,Merton,4
225,2022-04-07,Newham,35
226,2022-04-07,Out of force,3
227,2022-04-07,Redbridge,6
228,2022-04-07,Richmond upon Thames,3
229,2022-04-07,Southwark,34
230,2022-04-07,Sutton,4
231,2022-04-07,Tower Hamlets,17
232,2022-04-07,Waltham Forest,7
233,2022-04-07,Wandsworth,9
234,2022-04-08,Barking and Dagenham,10
235,2022-04-08,Barnet,7
236,2022-04-08,Bexley,16
237,2022-04-08,Brent,7
238,2022-04-08,Bromley,10
239,2022-04-08,Camden,21
240,2022-04-08,City of Westminster,50
